priorite;score;titre;acheteur;date_publication;date_limite;url;source_csv
IMPORTANT;10;2026-006 Prestations de peinture et réparation de caissons de déchèteries;SEROC;2026-04-26;2026-06-01T10:00:00+00:00;https://www.boamp.fr/pages/avis/?q=idweb:26-41763;boamp_mhani_PRO.csv
NORMAL;7;Travaux de gros oeuvre- maçonnerie - carrelage- faïence géré par la Région Normandie;REGION NORMANDIE - DIRECTION DES BATIMENTS REGIONAUX;2026-05-13;2026-05-26T14:00:00+00:00;https://www.boamp.fr/pages/avis/?q=idweb:26-47532;boamp_mhani_PRO.csv
NORMAL;6;Marché pluriannuel de maintenance avec gros entretien et renouvellement (garantie totale) des appareils électriques, solaires et thermodynamiques (splits ou monoblocs) de production d'eau chaude sanitaire a accumulation;Habitat 76;22/05/2026;22/06/2026;https://centraledesmarches.com/marches-publics/Rouen-Habitat-76-Marche-pluriannuel-de-maintenance-avec-gros-entretien-et-renouvellement-garantie-totale-des-appareils-electriques-solaires-et-thermodynamiques-splits-ou-monoblocs-de-production-d-eau-chaude-sanitaire-a-accumulation/567932;central_marches_20260524_174607.csv
NORMAL;6;Travaux sur revêtement de sol en sous-section 4 dans les collèges du Département du Calvados;CONSEIL DEPARTEMENTAL DU CALVADOS (CD 14);2026-05-07;2026-06-08T12:00:00+00:00;https://www.boamp.fr/pages/avis/?q=idweb:26-46415;boamp_mhani_PRO.csv
NORMAL;6;"CONSTRUCTION DE 12 LOGEMENTS INDIVIDUELS ET RÉNOVATION D'UNE SALLE D'ACTIVITÉS - "" VAL SOLEIL "" RUE HORACE VERNET – LE HAVRE (76620)";LOGEO SEINE (76);15 avril 2026;;https://www.marches-securises.fr/entreprise/?module=script|dl_la_s&cle_dce=1776248449gaff43ty2tvq;annonces.csv
NORMAL;0;CONSTRUCTION DE 21 LOGEMENTS EN PSLA & REHABILITATION D'UN MANOIR EN 9 LOGEMENTS & MAISON ANNEXE D'UN LOGEMENT- 88 RUE DE L'ANDELLE ALIZAY;LOGÉAL IMMOBILIÈRE (76);18 mai 2026;;https://www.marches-securises.fr/entreprise/?module=script|dl_la_s&cle_dce=1779113119e6uu2sfga33g;annonces.csv
NORMAL;0;CONSTRUCTION DE 9 LOGEMENTS ET 8 GARAGES - RESIDENCE DU VILLAGE FLEURI;COMMUNE DE DOMJEAN (MCR - 50);19 mai 2026;;https://www.marches-securises.fr/entreprise/?module=script|dl_la_s&cle_dce=1779181238lxkmt7na8t5q;annonces.csv
NORMAL;0;Reconstruction de l'EHPAD Béthel à Mont-Saint-Aignan;CHG LA FILANDIERE;2026-05-17;2026-07-10T10:00:00+00:00;https://www.boamp.fr/pages/avis/?q=idweb:26-48542;boamp_mhani_PRO.csv
NORMAL;0;TRAVAUX DIVERS D'ENTRETIEN DES BATIMENTS COMMUNAUX 2026;VILLE DU TRÉPORT (76);22 mai 2026;;https://www.marches-securises.fr/entreprise/?module=script|dl_la_s&cle_dce=1779450942s7i5j3ynvrp9;annonces.csv
NORMAL;0;Fourniture d'un système électromagnétique aéroporté par drone dédié aux investigations géophysiques de subsurface.;Université de Rouen Normandie;22/05/2026;25/06/2026;https://centraledesmarches.com/marches-publics/Mont-Saint-Aignan-Universite-de-Rouen-Normandie-Fourniture-d-un-systeme-electromagnetique-aeroporte-par-drone-dedie-aux-investigations-geophysiques-de-subsurface/567731;central_marches_20260524_174607.csv
NORMAL;0;Travaux de maintenance électrique des infrastructures maritimes et fluviales;Département de la Seine-Maritime;22/05/2026;22/06/2026;https://centraledesmarches.com/marches-publics/Rouen-Departement-de-la-Seine-Maritime-Travaux-de-maintenance-electrique-des-infrastructures-maritimes-et-fluviales/567750;central_marches_20260524_174607.csv
NORMAL;0;Maîtrise d'oeuvre pour la modernisation de 559 logements collectifs et individuels sur divers groupes du département de la Seine-Maritime;Habitat 76;22/05/2026;22/06/2026;https://centraledesmarches.com/marches-publics/Rouen-Habitat-76-Maitrise-d-oeuvre-pour-la-modernisation-de-559-logements-collectifs-et-individuels-sur-divers-groupes-du-departement-de-la-Seine-Maritime/567840;central_marches_20260524_174607.csv
NORMAL;0;Le contrat porte sur les prestations suivantes : VERIFICATIONS PERIODIQUES REGLEMENTAIRES DES INSTALLATIONS TECHNIQUES DES BATIMENTS DU DEPARTEMENT DE LA SEINE-MARITIME;Département de la Seine-Maritime;22/05/2026;24/06/2026;https://centraledesmarches.com/marches-publics/Rouen-Departement-de-la-Seine-Maritime-Le-contrat-porte-sur-les-prestations-suivantes-VERIFICATIONS-PERIODIQUES-REGLEMENTAIRES-DES-INSTALLATIONS-TECHNIQUES-DES-BATIMENTS-DU-DEPARTEMENT-DE-LA-SEINE-MARITIME/567769;central_marches_20260524_174607.csv
NORMAL;0;Prestation de nettoyage de locaux;BATIMENT CFA NORMANDIE;22/05/2026;22/06/2026;https://centraledesmarches.com/marches-publics/Saint-Etienne-du-Rouvray-BATIMENT-CFA-NORMANDIE-Prestation-de-nettoyage-de-locaux/567852;central_marches_20260524_174607.csv
NORMAL;0;L'accord-cadre concerne des prestations de maintenance et assistance à l'exploitation technique d'un réseau de gestion technique centralisée, vidéo-protection et contrôle d'accès pour la Ville et le CCAS de Gonfreville l'Orcher;Commune de GONFREVILLE-L-ORCHER;22/05/2026;15/06/2026;https://centraledesmarches.com/marches-publics/Rogerville-Commune-de-GONFREVILLE-L-ORCHER-L-accord-cadre-concerne-des-prestations-de-maintenance-et-assistance-a-l-exploitation-technique-d-un-reseau-de-gestion-technique-centralisee-video-protection-et-controle-d-acces-pour-la-Ville-et-le-CCAS-de-Gonfreville-l-Orcher/567855;central_marches_20260524_174607.csv
NORMAL;0;Maitrise d'oeuvre pour la construction de 14 logements individuels - Epreville;ALCEANE;22/05/2026;29/06/2026;https://centraledesmarches.com/marches-publics/Le-Havre-Cedex-ALCEANE-Maitrise-d-oeuvre-pour-la-construction-de-14-logements-individuels--Epreville/567886;central_marches_20260524_174607.csv
NORMAL;0;Prestations d'animation de collectifs d'agriculteurs des aires d'alimentation de captages de la Communauté urbaine Le Havre Seine Métropole dans l'objectif de l'amélioration de la qualité de la ressource en eau;LE HAVRE SEINE METROPOLE;22/05/2026;;https://centraledesmarches.com/marches-publics/Le-Havre-LE-HAVRE-SEINE-METROPOLE-Prestations-d-animation-de-collectifs-d-agriculteurs-des-aires-d-alimentation-de-captages-de-la-Communaute-urbaine-Le-Havre-Seine-Metropole-dans-l-objectif-de-l-amelioration-de-la-qualite-de-la-ressource-en-eau/567995;central_marches_20260524_174607.csv
NORMAL;0;Assistance à l'organisation des élections des représentants des locataires au conseil d'administration / conseil de surveillance des organismes de logement social;Habitat 76;22/05/2026;;https://centraledesmarches.com/marches-publics/Rouen-Habitat-76-Assistance-a-l-organisation-des-elections-des-representants-des-locataires-au-conseil-d-administration-conseil-de-surveillance-des-organismes-de-logement-social/568007;central_marches_20260524_174607.csv
NORMAL;0;ACQUISITION ET INSTALLATION D'UN SONDEUR LATERAL REMORQUE SUR LA VEDETTE D'HYDROGRAPHIE;Grand port fluvio maritime de l'axe Seine - Direction territoriale du Havre;22/05/2026;02/07/2026;https://centraledesmarches.com/marches-publics/Le-Havre-Grand-port-fluvio-maritime-de-l-axe-Seine--Direction-territoriale-du-Havre-ACQUISITION-ET-INSTALLATION-D-UN-SONDEUR-LATERAL-REMORQUE-SUR-LA-VEDETTE-D-HYDROGRAPHIE/568096;central_marches_20260524_174607.csv
NORMAL;0;REMPLACEMENT DE LA PASSERELLE ROUTIERE ET DU PONTON DE SERVITUDE DES REMORQUEURS DE LA SOCIETE BOLUDA;Grand port fluvio maritime de l'axe Seine - Direction territoriale du Havre;22/05/2026;;https://centraledesmarches.com/marches-publics/Le-Havre-Grand-port-fluvio-maritime-de-l-axe-Seine--Direction-territoriale-du-Havre-REMPLACEMENT-DE-LA-PASSERELLE-ROUTIERE-ET-DU-PONTON-DE-SERVITUDE-DES-REMORQUEURS-DE-LA-SOCIETE-BOLUDA/568160;central_marches_20260524_174607.csv
NORMAL;0;TRAVAUX DIVERS D'ENTRETIEN DES BATIMENTS COMMUNAUX 2026;MAIRIE DU TREPORT;22/05/2026;23/06/2026;https://centraledesmarches.com/marches-publics/Le-Treport-MAIRIE-DU-TREPORT-TRAVAUX-DIVERS-D-ENTRETIEN-DES-BATIMENTS-COMMUNAUX-2026/568172;central_marches_20260524_174607.csv
NORMAL;0;Adaptation des équipements de protection du quai Carue;Grand port fluvio maritime de l'axe Seine - Direction territoriale de Rouen;22/05/2026;24/07/2026;https://centraledesmarches.com/marches-publics/Yville-sur-Seine-Grand-port-fluvio-maritime-de-l-axe-Seine--Direction-territoriale-de-Rouen-Adaptation-des-equipements-de-protection-du-quai-Carue/568197;central_marches_20260524_174607.csv
NORMAL;0;Travaux de reprise de concessions funéraire échues ou abandonnées dans le cimetière de Sainte-Adresse;Mairie de Sainte-Adresse;22/05/2026;;https://centraledesmarches.com/marches-publics/Sainte-Adresse-Mairie-de-Sainte-Adresse-Travaux-de-reprise-de-concessions-funeraire-echues-ou-abandonnees-dans-le-cimetiere-de-Sainte-Adresse/568211;central_marches_20260524_174607.csv
NORMAL;0;STADE PERCEPIED - Travaux de désamiantage - démolition - VRD et fourniture - pose de modulaires avec travaux de pérennisation;Ville du Havre;22/05/2026;16/06/2026;https://centraledesmarches.com/marches-publics/Le-Havre-Ville-du-Havre-STADE-PERCEPIED--Travaux-de-desamiantage--demolition--VRD-et-fourniture--pose-de-modulaires-avec-travaux-de-perennisation/568301;central_marches_20260524_174607.csv
NORMAL;0;Accord cadre pour la location de stands et mobiliers événementiels et prestations associées;ROUEN NORMANDIE EVENEMENTS;21/05/2026;24/06/2026;https://centraledesmarches.com/marches-publics/Le-Grand-Quevilly-ROUEN-NORMANDIE-EVENEMENTS-Accord-cadre-pour-la-location-de-stands-et-mobiliers-evenementiels-et-prestations-associees/567100;central_marches_20260524_174607.csv
NORMAL;0;Prestations d'entretien des vitres des bâtiments de la Ville et du CCAS de Gonfreville-l'Orcher;Commune de GONFREVILLE-L-ORCHER;21/05/2026;;https://centraledesmarches.com/marches-publics/Rogerville-Commune-de-GONFREVILLE-L-ORCHER-Prestations-d-entretien-des-vitres-des-batiments-de-la-Ville-et-du-CCAS-de-Gonfreville-l-Orcher/567143;central_marches_20260524_174607.csv
NORMAL;0;Marché de service relatif à la prestation d'assurance pour les besoins de la Ville du TREPORT;MAIRIE DU TREPORT;21/05/2026;25/06/2026;https://centraledesmarches.com/marches-publics/Le-Treport-MAIRIE-DU-TREPORT-Marche-de-service-relatif-a-la-prestation-d-assurance-pour-les-besoins-de-la-Ville-du-TREPORT/567175;central_marches_20260524_174607.csv
NORMAL;0;RESPONSABILITE DES RECHERCHES INTERVENTIONNELLES;CHU ROUEN NORMANDIE;21/05/2026;22/06/2026;https://centraledesmarches.com/marches-publics/Rouen-CHU-ROUEN-NORMANDIE-RESPONSABILITE-DES-RECHERCHES-INTERVENTIONNELLES/567180;central_marches_20260524_174607.csv
